;id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;image;genderArticle
20230;48732;Men;Accessories;Jewellery;Bangle;Steel;Summer;2012.0;Casual;Revv Men Steel Bangle;48732.jpg;Men-Bangle
20240;38445;Women;Accessories;Bags;Tablet Sleeve;Black;Summer;2012.0;Casual;Baggit Women Black I-Pad Cover;38445.jpg;Women-Tablet Sleeve
20766;20220;Men;Apparel;Topwear;Sweaters;Navy Blue;Fall;2011.0;Casual;Wrangler Men Rib Navy Sweater;20220.jpg;Men-Sweaters
20957;2633;Men;Footwear;Shoes;Heels;Black;Summer;2010.0;Smart Casual;Carlton London Men Black Leather Casual Shoes.;2633.jpg;Men-Heels
21055;26974;Women;Apparel;Dress;Dresses;Pink;Summer;2012.0;Casual;Jealous 21 Women Pink Printed Dress;26974.jpg;Women-Dresses
21245;43721;Women;Accessories;Jewellery;Bangle;Gold;Summer;2012.0;Casual;Royal Diadem Set of 2 Golden Bangles;43721.jpg;Women-Bangle
22683;34057;Boys;Apparel;Bottomwear;Capris;Blue;Summer;2012.0;Casual;Gini and Jony Boys Washed Blue 3/4 Length Pants;34057.jpg;Boys-Capris
22732;41004;Girls;Apparel;Bottomwear;Skirts;Navy Blue;Summer;2012.0;Casual;Gini and Jony Girls Woven Navy Blue Skirts;41004.jpg;Girls-Skirts
22779;41236;Girls;Apparel;Bottomwear;Capris;Black;Summer;2012.0;Casual;Gini and Jony Kids Girls Black Capris;41236.jpg;Girls-Capris
22877;39121;Women;Apparel;Bottomwear;Leggings;Pink;Fall;2012.0;Casual;Aneri Women Pink Leggings;39121.jpg;Women-Leggings
23403;32533;Men;Personal Care;Fragrance;Fragrance Gift Set;Black;Spring;2017.0;Casual;Playboy Men Hollywood Fragrance Gift Set;32533.jpg;Men-Fragrance Gift Set
24036;52816;Men;Accessories;Watches;Watches;Black;Winter;2016.0;Casual;Morellato Men Black Watch;52816.jpg;Men-Watches
24049;19544;Men;Accessories;Gloves;Gloves;Green;Fall;2011.0;Casual;United Colors of Benetton Men Solid Green Gloves;19544.jpg;Men-Gloves
24156;59851;Women;Personal Care;Skin;Face Serum and Gel;White;Spring;2017.0;Casual;Olay Women White Radiance Intensive Brightening Serum;59851.jpg;Women-Face Serum and Gel
24166;51200;Women;Apparel;Innerwear;Bra;Pink;Summer;2017.0;Casual;Enamor Women Pink Bra;51200.jpg;Women-Bra
24213;20051;Women;Accessories;Mufflers;Mufflers;Blue;Fall;2011.0;Casual;United Colors Of Benetton Women Blue Muffler;20051.jpg;Women-Mufflers
24256;34035;Boys;Apparel;Topwear;Shirts;Navy Blue;Summer;2012.0;Casual;Gini and Jony Boys Check Navy Blue Shirt;34035.jpg;Boys-Shirts
24357;52478;Women;Apparel;Loungewear and Nightwear;Baby Dolls;Red;Winter;2015.0;Casual;Red Rose Red Nightdress;52478.jpg;Women-Baby Dolls
24443;26156;Men;Apparel;Bottomwear;Trousers;Brown;Summer;2012.0;Formal;John Miller Men Striped Brown Trousers;26156.jpg;Men-Trousers
24526;19915;Unisex;Accessories;Bags;Waist Pouch;Pink;Winter;2015.0;Casual;Wildcraft Unisex Pink Waist Pouch;19915.jpg;Unisex-Waist Pouch
24532;31743;Men;Apparel;Topwear;Blazers;Olive;Summer;2012.0;Formal;Reid & Taylor Men Semi Formal Olive Blazer;31743.jpg;Men-Blazers
24555;57763;Women;Personal Care;Skin Care;Face Scrub and Exfoliator;Cream;Spring;2017.0;;Lotus Herbals Apriscrub;57763.jpg;Women-Face Scrub and Exfoliator
24667;13619;Women;Apparel;Innerwear;Innerwear Vests;White;Winter;2015.0;Casual;Hanes Women Short Sleeve White Innerwear T-shirt;13619.jpg;Women-Innerwear Vests
24771;48575;Men;Accessories;Jewellery;Bracelet;Steel;Summer;2012.0;Casual;Revv Men Steel Bracelet;48575.jpg;Men-Bracelet
24856;42084;Unisex;Accessories;Wallets;Wallets;Brown;Summer;2015.0;Casual;American Tourister Unisex Brown Passport Holder;42084.jpg;Unisex-Wallets
24944;23611;Women;Personal Care;Fragrance;Perfume and Body Mist;Pink;Spring;2017.0;Casual;Nike Fragrances Women Paradise Perfume;23611.jpg;Women-Perfume and Body Mist
24979;34494;Women;Apparel;Bottomwear;Skirts;Black;Summer;2012.0;Formal;Van Heusen Woman Black Skirt;34494.jpg;Women-Skirts
25026;57397;Women;Apparel;Innerwear;Briefs;Pink;Winter;2015.0;Casual;Amante Women Pink Briefs PGDI03;57397.jpg;Women-Briefs
25308;13448;Women;Apparel;Topwear;Shirts;Pink;Summer;2011.0;Casual;United Colors of Benetton Women Solid Pink Shirts;13448.jpg;Women-Shirts
25388;31720;Girls;Accessories;Jewellery;Earrings;Silver;Summer;2012.0;Ethnic;Fabindia Girls Anusuya Silver Earrings;31720.jpg;Girls-Earrings
25407;57700;Women;Personal Care;Skin;Face Moisturisers;White;Spring;2017.0;;Lotus Herbals Papayablem Anti-Blemish Creme;57700.jpg;Women-Face Moisturisers
25458;40743;Women;Accessories;Headwear;Caps;Pink;Winter;2012.0;Casual;Roxy Women Pink Cap;40743.jpg;Women-Caps
